cik	year	cat
1000179	2001	594
1000179	2001	87
1000179	2001	355
1000179	2001	356
1000179	2001	357
1000179	2001	873
1000179	2001	874
1000179	2001	364
1000179	2001	621
1000179	2001	366
1000179	2001	61
1000179	2001	371
1000179	2001	631
1000179	2001	633
1000179	2001	382
1000179	2001	641
1000179	2001	153
1000179	2001	367
1000179	2001	421
1000179	2001	736
1000179	2001	737
1000179	2001	738
1000179	2001	483
1000179	2001	495
1000179	2001	504
1000179	2001	506
1000180	2001	10
1000180	2001	15
1000180	2001	533
1000180	2001	23
1000180	2001	27
1000180	2001	28
1000180	2001	799
1000180	2001	32
1000180	2001	33
1000180	2001	34
1000180	2001	35
1000180	2001	36
1000180	2001	37
1000180	2001	38
1000180	2001	39
1000180	2001	42
1000180	2001	44
1000180	2001	48
1000180	2001	51
1000180	2001	308
1000180	2001	53
1000180	2001	55
1000180	2001	56
1000180	2001	62
1000180	2001	565
1000180	2001	481
1000180	2001	73
1000180	2001	331
1000180	2001	79
1000180	2001	80
1000180	2001	594
1000180	2001	87
1000180	2001	355
1000180	2001	357
1000180	2001	364
1000180	2001	621
1000180	2001	366
1000180	2001	61
1000180	2001	371
1000180	2001	382
1000180	2001	384
1000180	2001	641
1000180	2001	153
1000180	2001	367
1000180	2001	283
1000180	2001	421
1000180	2001	679
1000180	2001	737
1000180	2001	738
1000180	2001	483
1000180	2001	495
1000180	2001	504
1000180	2001	506
1000181	2001	10
1000181	2001	13
1000181	2001	15
1000181	2001	533
1000181	2001	23
1000181	2001	25
1000181	2001	799
1000181	2001	32
1000181	2001	34
1000181	2001	42
1000181	2001	44
1000181	2001	45
1000181	2001	48
1000181	2001	49
1000181	2001	51
1000181	2001	53
1000181	2001	54
1000181	2001	58
1000181	2001	59
1000181	2001	60
1000181	2001	394
1000181	2001	62
1000181	2001	64
1000181	2001	65
1000181	2001	67
1000181	2001	581
1000181	2001	481
1000181	2001	80
1000181	2001	594
1000181	2001	602
1000181	2001	603
1000181	2001	874
1000181	2001	621
1000181	2001	61
1000181	2001	371
1000181	2001	631
1000181	2001	633
1000181	2001	63
1000181	2001	641
1000181	2001	131
1000181	2001	138
1000181	2001	153
1000181	2001	421
1000181	2001	679
1000181	2001	284
1000181	2001	451
1000181	2001	736
1000181	2001	483
1000181	2001	495
1000181	2001	504
1000181	2001	506
1000209	2001	10
1000209	2001	13
1000209	2001	15
1000209	2001	533
1000209	2001	23
1000209	2001	799
1000209	2001	32
1000209	2001	34
1000209	2001	42
1000209	2001	44
1000209	2001	48
1000209	2001	49
1000209	2001	51
1000209	2001	53
1000209	2001	55
1000209	2001	59
1000209	2001	60
1000209	2001	62
1000209	2001	64
1000209	2001	67
1000209	2001	481
1000209	2001	331
1000209	2001	79
1000209	2001	80
1000209	2001	594
1000209	2001	87
1000209	2001	602
1000209	2001	603
1000209	2001	355
1000209	2001	364
1000209	2001	621
1000209	2001	61
1000209	2001	371
1000209	2001	631
1000209	2001	633
1000209	2001	63
1000209	2001	641
1000209	2001	131
1000209	2001	153
1000209	2001	421
1000209	2001	679
1000209	2001	737
1000209	2001	483
1000209	2001	495
1000209	2001	506
1000227	2001	23
1000227	2001	25
1000227	2001	26
1000227	2001	30
1000227	2001	32
1000227	2001	33
1000227	2001	34
1000227	2001	35
1000227	2001	36
1000227	2001	37
1000227	2001	38
1000227	2001	39
1000227	2001	50
1000227	2001	51
1000227	2001	308
1000227	2001	54
1000227	2001	55
1000227	2001	57
1000227	2001	394
1000227	2001	331
1000227	2001	87
1000227	2001	355
1000227	2001	356
1000227	2001	357
1000227	2001	873
1000227	2001	364
1000227	2001	366
1000227	2001	371
1000227	2001	631
1000227	2001	382
1000227	2001	153
1000227	2001	367
1000227	2001	284
1000227	2001	208
1000227	2001	736
1000227	2001	737
1000227	2001	495
1000227	2001	504
1000227	2001	506
1000228	2001	533
1000228	2001	23
1000228	2001	25
1000228	2001	26
1000228	2001	541
1000228	2001	30
1000228	2001	32
1000228	2001	34
1000228	2001	35
1000228	2001	36
1000228	2001	37
1000228	2001	38
1000228	2001	39
1000228	2001	42
1000228	2001	50
1000228	2001	51
1000228	2001	308
1000228	2001	53
1000228	2001	54
1000228	2001	55
1000228	2001	56
1000228	2001	57
1000228	2001	59
1000228	2001	394
1000228	2001	62
1000228	2001	565
1000228	2001	64
1000228	2001	481
1000228	2001	73
1000228	2001	331
1000228	2001	80
1000228	2001	594
1000228	2001	87
1000228	2001	355
1000228	2001	356
1000228	2001	357
1000228	2001	873
1000228	2001	874
1000228	2001	364
1000228	2001	621
1000228	2001	366
1000228	2001	371
1000228	2001	631
1000228	2001	633
1000228	2001	63
1000228	2001	382
1000228	2001	384
1000228	2001	641
1000228	2001	153
1000228	2001	367
1000228	2001	421
1000228	2001	284
1000228	2001	208
1000228	2001	736
1000228	2001	737
1000228	2001	738
1000228	2001	495
1000228	2001	504
1000228	2001	506
1000229	2001	10
1000229	2001	13
1000229	2001	15
1000229	2001	533
1000229	2001	27
1000229	2001	32
1000229	2001	33
1000229	2001	34
1000229	2001	35
1000229	2001	36
1000229	2001	37
1000229	2001	38
1000229	2001	39
1000229	2001	42
1000229	2001	44
1000229	2001	49
1000229	2001	51
1000229	2001	308
1000229	2001	53
1000229	2001	55
1000229	2001	62
1000229	2001	64
1000229	2001	481
1000229	2001	73
1000229	2001	331
1000229	2001	79
1000229	2001	80
1000229	2001	594
1000229	2001	87
1000229	2001	355
1000229	2001	357
1000229	2001	364
1000229	2001	621
1000229	2001	366
1000229	2001	61
1000229	2001	371
1000229	2001	382
1000229	2001	641
1000229	2001	131
1000229	2001	153
1000229	2001	367
1000229	2001	283
1000229	2001	421
1000229	2001	679
1000229	2001	737
1000229	2001	738
1000229	2001	483
1000229	2001	492
1000229	2001	495
1000229	2001	504
1000230	2001	15
1000230	2001	23
1000230	2001	25
1000230	2001	26
1000230	2001	30
1000230	2001	32
1000230	2001	33
1000230	2001	34
1000230	2001	35
1000230	2001	36
1000230	2001	37
1000230	2001	38
1000230	2001	39
1000230	2001	48
1000230	2001	50
1000230	2001	308
1000230	2001	57
1000230	2001	394
1000230	2001	481
1000230	2001	73
1000230	2001	331
1000230	2001	355
1000230	2001	356
1000230	2001	357
1000230	2001	873
1000230	2001	364
1000230	2001	366
1000230	2001	371
1000230	2001	382
1000230	2001	384
1000230	2001	641
1000230	2001	153
1000230	2001	367
1000230	2001	284
1000230	2001	736
1000230	2001	737
1000230	2001	738
1000230	2001	483
1000230	2001	495
1000230	2001	504
1000230	2001	506
1000231	2001	10
1000231	2001	15
1000231	2001	533
1000231	2001	23
1000231	2001	27
1000231	2001	28
1000231	2001	32
1000231	2001	34
1000231	2001	35
1000231	2001	36
1000231	2001	37
1000231	2001	38
1000231	2001	39
1000231	2001	42
1000231	2001	44
1000231	2001	48
1000231	2001	50
1000231	2001	51
1000231	2001	308
1000231	2001	53
1000231	2001	55
1000231	2001	59
1000231	2001	62
1000231	2001	565
1000231	2001	64
1000231	2001	481
1000231	2001	73
1000231	2001	331
1000231	2001	79
1000231	2001	80
1000231	2001	594
1000231	2001	87
1000231	2001	355
1000231	2001	357
1000231	2001	364
1000231	2001	621
1000231	2001	366
1000231	2001	61
1000231	2001	371
1000231	2001	382
1000231	2001	384
1000231	2001	641
1000231	2001	131
1000231	2001	153
1000231	2001	367
1000231	2001	283
1000231	2001	421
1000231	2001	679
1000231	2001	736
1000231	2001	737
1000231	2001	738
1000231	2001	483
1000231	2001	495
1000231	2001	504
1000231	2001	506
1000232	2001	10
1000232	2001	13
1000232	2001	15
1000232	2001	23
1000232	2001	541
1000232	2001	799
1000232	2001	32
1000232	2001	42
1000232	2001	48
1000232	2001	49
1000232	2001	51
1000232	2001	54
1000232	2001	55
1000232	2001	60
1000232	2001	62
1000232	2001	64
1000232	2001	67
1000232	2001	481
1000232	2001	331
1000232	2001	80
1000232	2001	594
1000232	2001	87
1000232	2001	602
1000232	2001	603
1000232	2001	873
1000232	2001	621
1000232	2001	61
1000232	2001	631
1000232	2001	633
1000232	2001	63
1000232	2001	641
1000232	2001	131
1000232	2001	138
1000232	2001	153
1000232	2001	421
1000232	2001	679
1000232	2001	284
1000232	2001	451
1000232	2001	736
1000232	2001	483
1000232	2001	495
1000232	2001	504
1000232	2001	506
1000234	2001	10
1000234	2001	13
1000234	2001	15
1000234	2001	23
1000234	2001	799
1000234	2001	32
1000234	2001	34
1000234	2001	42
1000234	2001	44
1000234	2001	48
1000234	2001	49
1000234	2001	51
1000234	2001	53
1000234	2001	55
1000234	2001	59
1000234	2001	60
1000234	2001	62
1000234	2001	64
1000234	2001	67
1000234	2001	481
1000234	2001	331
1000234	2001	79
1000234	2001	80
1000234	2001	594
1000234	2001	602
1000234	2001	603
1000234	2001	364
1000234	2001	621
1000234	2001	61
1000234	2001	371
1000234	2001	631
1000234	2001	633
1000234	2001	63
1000234	2001	641
1000234	2001	131
1000234	2001	138
1000234	2001	153
1000234	2001	421
1000234	2001	679
1000234	2001	451
1000234	2001	736
1000234	2001	483
1000234	2001	495
1000234	2001	504
1000234	2001	506
1000235	2001	10
1000235	2001	13
1000235	2001	15
1000235	2001	23
1000235	2001	541
1000235	2001	799
1000235	2001	32
1000235	2001	42
1000235	2001	44
1000235	2001	45
1000235	2001	48
1000235	2001	49
1000235	2001	51
1000235	2001	54
1000235	2001	55
1000235	2001	59
1000235	2001	60
1000235	2001	62
1000235	2001	64
1000235	2001	67
1000235	2001	581
1000235	2001	481
1000235	2001	331
1000235	2001	80
1000235	2001	594
1000235	2001	87
1000235	2001	602
1000235	2001	603
1000235	2001	873
1000235	2001	874
1000235	2001	621
1000235	2001	61
