gvkey	year	sics13	sid
1072	2007	367	3
1072	2007	367	6
1072	2008	367	2
1072	2008	367	3
1072	2008	367	6
1072	2009	367	3
1072	2009	367	6
1072	2010	367	3
1072	2010	367	6
1072	2011	367	3
1072	2011	367	6
1072	2012	367	3
1072	2012	367	6
1072	2013	367	2
1072	2013	367	3
1072	2013	367	6
1075	1996	491	5
1075	1997	491	5
1075	1998	491	5
1075	1999	491	6
1075	1999	491	7
1075	2000	491	6
1075	2000	491	7
1075	2001	491	9
1075	2001	491	10
1075	2002	655	8
1075	2002	491	9
1075	2002	491	10
1075	2003	655	8
1075	2003	491	9
1075	2003	491	10
1075	2004	655	8
1075	2004	491	9
1075	2004	491	10
1075	2005	655	8
1075	2005	491	9
1075	2005	491	10
1075	2006	655	8
1075	2006	491	9
1075	2007	655	8
1075	2007	491	9
1075	2008	655	8
1075	2008	491	9
1075	2009	655	8
1075	2009	491	9
1075	2010	491	9
1075	2011	491	9
1075	2012	491	9
1075	2013	491	9
1076	1996	735	1
1076	1997	735	1
1076	1998	735	3
1076	1998	679	4
1076	1998	735	5
1076	1998	251	6
1076	1999	735	2
1076	1999	735	3
1076	1999	679	4
1076	1999	251	6
1076	2000	735	3
1076	2000	679	4
1076	2000	251	6
1076	2001	735	2
1076	2001	735	3
1076	2001	679	4
1076	2001	251	6
1076	2002	735	2
1076	2002	735	3
1076	2002	679	4
1076	2002	251	6
1076	2003	735	2
1076	2003	735	3
1076	2003	679	4
1076	2003	251	6
1076	2004	735	3
1076	2004	679	4
1076	2004	251	6
1076	2005	735	3
1076	2005	679	4
1076	2005	251	6
1076	2006	735	3
1076	2006	679	4
1076	2006	251	6
1076	2007	735	3
1076	2007	679	4
1076	2007	251	6
1076	2008	735	3
1076	2008	679	4
1076	2008	251	6
1076	2009	735	3
1076	2009	679	4
1076	2009	251	6
1076	2010	735	3
1076	2010	679	4
1076	2010	251	6
1076	2011	735	3
1076	2011	679	4
1076	2011	251	6
1076	2011	573	7
1076	2012	735	3
1076	2012	679	4
1076	2012	251	6
1076	2012	573	7
1076	2012	735	8
1076	2013	735	3
1076	2013	679	4
1076	2013	251	6
1076	2013	573	7
1076	2013	735	8
1076	2013	735	9
1078	1996	283	3
1078	1996	283	4
1078	1997	283	3
1078	1997	283	4
1078	1998	384	6
1078	1998	283	7
1078	1998	202	8
1078	1998	283	9
1078	1998	287	10
1078	1999	384	6
1078	1999	283	7
1078	1999	202	8
1078	2000	384	6
1078	2000	283	7
1078	2000	283	9
1078	2001	384	6
1078	2001	283	7
1078	2001	202	8
1078	2001	283	9
1078	2002	384	6
1078	2002	283	7
1078	2002	202	8
1078	2003	283	5
1078	2003	384	6
1078	2003	283	7
1078	2003	202	8
1078	2004	283	5
1078	2004	384	6
1078	2004	202	8
1078	2005	384	6
1078	2005	202	8
1078	2005	283	9
1078	2006	384	6
1078	2006	283	18
1078	2006	202	19
1078	2006	384	20
1078	2007	384	6
1078	2007	283	18
1078	2007	202	19
1078	2007	384	20
1078	2008	384	6
1078	2008	283	18
1078	2008	202	19
1078	2008	384	20
1078	2009	384	6
1078	2009	283	18
1078	2009	202	19
1078	2009	384	20
1078	2010	283	6
1078	2010	283	18
1078	2010	202	19
1078	2010	384	20
1078	2011	283	6
1078	2011	202	19
1078	2011	384	20
1078	2011	283	22
1078	2011	283	23
1078	2012	283	6
1078	2012	202	19
1078	2012	384	20
1078	2012	283	22
1078	2012	283	23
1078	2013	283	6
1078	2013	384	20
1081	1996	506	14
1081	1996	262	15
1081	1996	262	16
1081	1996	503	17
1081	1997	262	15
1081	1997	262	16
1081	1997	511	18
1081	1997	242	19
1081	1997	261	20
1081	1998	262	15
1081	1998	262	16
1081	1998	511	18
1081	1998	242	21
1081	1999	262	15
1081	1999	262	16
1081	1999	511	18
1081	1999	242	21
1081	2000	262	15
1081	2000	262	22
1081	2000	242	23
1081	2001	262	15
1081	2001	262	22
1081	2001	242	23
1081	2002	262	15
1081	2002	262	22
1081	2002	242	23
1081	2003	262	15
1081	2003	262	22
1081	2003	242	23
1081	2004	262	15
1081	2004	262	22
1081	2004	242	23
1081	2005	262	15
1081	2005	262	22
1081	2005	242	23
1081	2006	262	15
1081	2006	262	22
1081	2006	242	23
1082	1996	651	2
1082	1996	254	3
1082	1996	154	5
1082	1997	254	3
1082	1997	154	5
1082	1998	651	2
1082	1998	254	3
1082	1998	154	5
1082	1999	254	3
1082	1999	154	5
1082	2000	154	5
1082	2001	651	2
1082	2001	154	5
1082	2002	154	5
1082	2002	871	7
1082	2003	651	2
1082	2003	154	5
1082	2003	871	7
1082	2004	651	2
1082	2004	154	5
1082	2004	871	7
1082	2004	871	8
1082	2005	651	2
1082	2005	871	7
1082	2005	871	8
1082	2006	651	2
1082	2006	871	7
1082	2006	871	8
1082	2007	651	2
1082	2007	871	7
1082	2008	871	7
1082	2009	871	7
1082	2010	651	2
1082	2010	871	7
1082	2011	871	7
1094	1996	516	1
1094	1997	516	1
1094	1998	516	1
1094	1999	516	2
1094	1999	516	3
1094	1999	516	4
1094	1999	512	5
1094	1999	512	6
1094	1999	516	7
1094	2000	516	2
1094	2000	516	3
